expense_id,employee_id,department,expense_type,expense_date,submit_date,amount,currency,vendor_name,invoice_number,project_code,approver,business_purpose,origin_city,dest_city,employee_name,trip_id
EXP-0001,E001,销售,travel,2026-09-02,2026-09-03,980,CNY,航空平台,INV-6001,P-B,A100,现场支持-天津往返交通,上海,天津,张伟,TR-E001-01
EXP-0002,E001,销售,hotel,2026-09-02,2026-09-06,420,CNY,亚朵酒店,INV-6002,P-B,A100,天津住宿,天津,天津,张伟,TR-E001-01
EXP-0003,E001,销售,meal,2026-09-02,2026-09-04,150,CNY,园区餐厅,INV-6003,P-B,A100,天津餐饮,天津,天津,张伟,TR-E001-01
EXP-0004,E001,销售,taxi,2026-09-02,2026-09-04,35,CNY,城市出行,INV-6004,P-B,A100,天津市内交通,天津,天津,张伟,TR-E001-01
EXP-0005,E001,销售,hotel,2026-09-03,2026-09-06,560,CNY,云栖酒店,INV-6005,P-B,A100,天津住宿,天津,天津,张伟,TR-E001-01
EXP-0006,E001,销售,meal,2026-09-03,2026-09-04,120,CNY,快餐连锁,INV-6006,P-B,A100,天津餐饮,天津,天津,张伟,TR-E001-01
EXP-0007,E001,销售,taxi,2026-09-03,2026-09-04,88,CNY,城市出行,INV-6007,P-B,A100,天津市内交通,天津,天津,张伟,TR-E001-01
EXP-0008,E001,销售,hotel,2026-09-04,2026-09-07,420,CNY,锦江都城,INV-6008,P-B,A100,天津住宿,天津,天津,张伟,TR-E001-01
EXP-0009,E001,销售,meal,2026-09-04,2026-09-06,150,CNY,老地方酒楼,INV-6009,P-B,A100,天津餐饮,天津,天津,张伟,TR-E001-01
EXP-0010,E001,销售,taxi,2026-09-04,2026-09-05,88,CNY,机场快线,INV-6010,P-B,A100,天津市内交通,天津,天津,张伟,TR-E001-01
EXP-0011,E001,销售,travel,2026-06-20,2026-06-21,1450,CNY,航空平台,INV-6011,P-A,A100,项目交付-深圳往返交通,上海,深圳,张伟,TR-E001-02
EXP-0012,E001,销售,hotel,2026-06-20,2026-06-22,680,CNY,云栖酒店,INV-6012,P-A,A100,深圳住宿,深圳,深圳,张伟,TR-E001-02
EXP-0013,E001,销售,meal,2026-06-20,2026-06-22,88,CNY,地方风味,INV-6013,P-A,A100,深圳餐饮,深圳,深圳,张伟,TR-E001-02
EXP-0014,E001,销售,hotel,2026-06-21,2026-06-24,680,CNY,亚朵酒店,INV-6014,P-A,A100,深圳住宿,深圳,深圳,张伟,TR-E001-02
EXP-0015,E001,销售,meal,2026-06-21,2026-06-25,68,CNY,地方风味,INV-6015,P-A,A100,深圳餐饮,深圳,深圳,张伟,TR-E001-02
EXP-0016,E001,销售,taxi,2026-06-21,2026-06-24,45,CNY,城市出行,INV-6016,P-A,A100,深圳市内交通,深圳,深圳,张伟,TR-E001-02
EXP-0017,E001,销售,hotel,2026-06-22,2026-06-25,680,CNY,如家精选,INV-6017,P-A,A100,深圳住宿,深圳,深圳,张伟,TR-E001-02
EXP-0018,E001,销售,meal,2026-06-22,2026-06-24,120,CNY,园区餐厅,INV-6018,P-A,A100,深圳餐饮,深圳,深圳,张伟,TR-E001-02
EXP-0019,E001,销售,hotel,2026-06-23,2026-06-26,600,CNY,亚朵酒店,INV-6019,P-A,A100,深圳住宿,深圳,深圳,张伟,TR-E001-02
EXP-0020,E001,销售,meal,2026-06-23,2026-06-25,68,CNY,老地方酒楼,INV-6020,P-A,A100,深圳餐饮,深圳,深圳,张伟,TR-E001-02
EXP-0021,E001,销售,taxi,2026-06-23,2026-06-25,60,CNY,机场快线,INV-6021,P-A,A100,深圳市内交通,深圳,深圳,张伟,TR-E001-02
EXP-0022,E001,销售,travel,2026-06-05,2026-06-06,2380,CNY,铁路平台,INV-6022,P-B,A100,客户拜访-西安往返交通,上海,西安,张伟,TR-E001-03
EXP-0023,E001,销售,hotel,2026-06-05,2026-06-06,520,CNY,如家精选,INV-6023,P-B,A100,西安住宿,西安,西安,张伟,TR-E001-03
EXP-0024,E001,销售,meal,2026-06-05,2026-06-07,68,CNY,地方风味,INV-6024,P-B,A100,西安餐饮,西安,西安,张伟,TR-E001-03
EXP-0025,E001,销售,taxi,2026-06-05,2026-06-08,88,CNY,机场快线,INV-6025,P-B,A100,西安市内交通,西安,西安,张伟,TR-E001-03
EXP-0026,E001,销售,hotel,2026-06-06,2026-06-07,420,CNY,锦江都城,INV-6026,P-B,A100,西安住宿,西安,西安,张伟,TR-E001-03
EXP-0027,E001,销售,meal,2026-06-06,2026-06-08,68,CNY,地方风味,INV-6027,P-B,A100,西安餐饮,西安,西安,张伟,TR-E001-03
EXP-0028,E001,销售,taxi,2026-06-06,2026-06-07,60,CNY,出租公司,INV-6028,P-B,A100,西安市内交通,西安,西安,张伟,TR-E001-03
EXP-0029,E001,销售,hotel,2026-06-07,2026-06-08,420,CNY,亚朵酒店,INV-6029,P-B,A100,西安住宿,西安,西安,张伟,TR-E001-03
EXP-0030,E001,销售,meal,2026-06-07,2026-06-11,150,CNY,商务套餐,INV-6030,P-B,A100,西安餐饮,西安,西安,张伟,TR-E001-03
EXP-0031,E001,销售,taxi,2026-06-07,2026-06-10,45,CNY,机场快线,INV-6031,P-B,A100,西安市内交通,西安,西安,张伟,TR-E001-03
EXP-0032,E001,销售,hotel,2026-06-08,2026-06-12,420,CNY,亚朵酒店,INV-6032,P-B,A100,西安住宿,西安,西安,张伟,TR-E001-03
EXP-0033,E001,销售,meal,2026-06-08,2026-06-12,96,CNY,商务套餐,INV-6033,P-B,A100,西安餐饮,西安,西安,张伟,TR-E001-03
